번호,종목명,평가액 (억원),자산군 내 비중 (%), 지분율
1,APPLE INC,"131,724 ",4.11%,0.34%
2,MICROSOFT CORP,"111,496 ",3.48%,0.31%
3,AMAZON.COM INC,"54,887 ",1.71%,0.27%
4,NVIDIA CORP,"51,299 ",1.60%,0.32%
5,INVESCO MSCI USA ETF,"44,306 ",1.38%,81.32%
6,ALPHABET INC CL A,"42,801 ",1.34%,0.40%
7,META PLATFORMS INC CLASS A,"41,638 ",1.30%,0.41%
8,ALPHABET INC CL C,"33,359 ",1.04%,0.32%
9,UNITEDHEALTH GROUP INC,"27,938 ",0.87%,0.45%
10,NOVO NORDISK A/S B,"24,663 ",0.77%,0.54%
11,TAIWAN SEMICONDUCTOR SP ADR,"24,373 ",0.76%,0.35%
12,ISHARES CORE S+P 500 ETF,"22,207 ",0.69%,0.41%
13,TESLA INC,"21,710 ",0.68%,0.21%
