번호,종목명,평가액 (억원),자산군 내 비중 (%),지분율
1,APPLE INC,"206,330",4.91%,0.38%
2,NVIDIA CORP,"179,476",4.27%,0.37%
3,MICROSOFT CORP,"165,005",3.93%,0.36%
4,AMAZON.COM INC,"102,937",2.45%,0.30%
5,META PLATFORMS INC CLASS A,"76,354",1.82%,0.41%
6,INVESCO MSCI USA ETF,"61,145",1.46%,54.22%
7,ALPHABET INC CL A,"58,817",1.40%,0.36%
8,ALPHABET INC CL C,"54,591",1.30%,0.36%
9,BROADCOM INC,"53,505",1.27%,0.33%
10,TESLA INC,"52,499",1.25%,0.27%
11,TAIWAN SEMICONDUCTOR SP ADR,"41,272",0.98%,0.27%
12,ISHARES CORE S+P 500 ETF,"35,647",0.85%,0.41%
13,JPMORGAN CHASE + CO,"34,384",0.82%,0.35%
14,TAIWAN SEMICONDUCTOR MANUFAC,"32,696",0.78%,0.26%
15,UNITEDHEALTH GROUP INC,"27,968",0.67%,0.41%
16,VISA INC CLASS A SHARES,"26,488",0.63%,0.33%
17,MASTERCARD INC  A,"26,150",0.62%,0.37%
18,NETFLIX INC,"25,065",0.60%,0.45%
19,EXXON MOBIL CORP,"24,704",0.59%,0.36%
20,ELI LILLY + CO,"23,688",0.56%,0.22%
